Cód. Produto;Descrição;Unid.;Categoria;Família;Grupo Produto
043.022;043.022 - Maca Nac Fuji Cat I Cal 150 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.022;043.022 - Maça Nac Fuji Cat I Cal 150 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.023;043.023 - Maça Nac Fuji Cat I Cal 165 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.024;043.024 - Maça Nac Fuji Cat I Cal 180 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.026;043.026 - Maça Nac Fuji Cat Ii Cal 120 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.027;043.027 - Maca Nac Fuji Cat Ii Cal 135 Cx 18kg;18,00;Maca Gala;Maca Fuji;Maca
043.027;043.027 - Maça Nac Fuji Cat Ii Cal 135 Cx 18kg;18,00;Maca Gala;Maca Fuji;Maca
043.028;043.028 - Maça Nac Fuji Cat Ii Cal 150 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.029;043.029 - Maca Nac Fuji Cat Ii Cal 165 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.030;043.030 - Maça Nac Fuji Cat Iii Cal 120 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.031;043.031 - Maça Nac Fuji Cat Iii Cal 135 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.032;043.032 - Maça Nac Fuji Cat Iii Cal 150 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.033;043.033 - Maça Nac Fuji Cat Iii Cal 165 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.034;043.034 - Maca Nac Fuji Varejo Kg;1,00;Maca Fuji;Maca Fuji;Maca
043.035;043.035 - Maca Nac Gala Varejo;1,00;Maca Gala;Maca Gala;Maca
043.036;043.036 - Maça Nac Gala Cat I Cal 100 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.037;043.037 - Maça Nac Gala Cat I Cal 120 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.038;043.038 - Maça Nac Gala Cat I Cal 135 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.039;043.039 - Maça Nac Gala Cat I Cal 150 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.039;043.039 - Maça Nac Gala Cat I Cal 150 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.040;043.040 - Maça Nac Gala Cat I Cal 165 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.041;043.041 - Maça Nac Gala Cat I Cal 180 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.042;043.042 - Maça Nac Gala Cat I Cal 198 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.043;043.043 - Maca Nac Gala Cat I Cal 220 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.043;043.043 - Maça Nac Gala Cat I Cal 220 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.045;043.045 - Maça Nac Gala Cat Ii Cal 120 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.046;043.046 - Maça Nac Gala Cat Ii Cal 135 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.047;043.047 - Maça Nac Gala Cat Ii Cal 150 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.048;043.048 - Maça Nac Gala Cat Ii Cal 165 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.049;043.049 - Maça Nac Gala Cat Iii Cal 120 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.050;043.050 - Maça Nac Gala Cat Iii Cal 135 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.051;043.051 - Maça Nac Gala Cat Iii Cal 150 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.052;043.052 - Maça Nac Gala Cat Iii Cal 165 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.053;043.053 - Maça Nac Gala Cat Iii Cal 180 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.054;043.054 - Maça Pick & Nicky Nac Pct 1kg Cx 18und;18,00;Maca Gala Pick & Nicky;Maca Gala;Maca
043.054;043.054 - Maça Pick Nicky Nac Pct 1kg Cx 18und;18,00;Maca Gala Pick & Nicky;Maca Gala;Maca
043.056;043.056 - Maca Red Imp Com Cal 125 Cx 19kg;19,00;Maca Red Imp;Maca Red;Maca
043.057;043.057 - Maca Red Imp Com Cal 88-113 Cx 18kg;18,00;Maca Red Imp;Maca Red;Maca
043.058;043.058 - Maca Red Imp Com Cal 88-113 Cx 19kg;19,00;Maca Red Imp;Maca Red;Maca
043.059;043.059 - Maca Red Imp Eleg Cal 125 Cx 18kg;18,00;Maca Red Imp;Maca Red;Maca
043.060;043.060 - Maca Red Imp Eleg Cal 125 Cx 19kg;19,00;Maca Red Imp;Maca Red;Maca
043.062;043.062 - Maca Red Imp Eleg Cal 30-45 Cx 9kg;9,00;Maca Red Imp;Maca Red;Maca
043.064;043.064 - Maca Red Imp Eleg Cal 72-80 Cx 19kg;19,00;Maca Red Imp;Maca Red;Maca
043.065;043.065 - Maca Red Imp Eleg Cal 88-113 Cx 19kg;19,00;Maca Red Imp;Maca Red;Maca
043.066;043.066 - Maca Red Imp Eleg Cal 88-113 Cx 18kg;18,00;Maca Red Imp;Maca Red;Maca
043.067;043.067 - Maca Red Imp Varejo;1,00;Maca Red Imp;Maca Red;Maca
043.068;043.068 - Maca Royal Gala Imp Com Cal 100 Cx14kg;14,00;Maca Gala Imp;Maca Gala Imp;Maca
043.071;043.071 - Maca Royal Gala Imp Com Cal 135 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.072;043.072 - Maca Royal Gala Imp Com Cal 150 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.073;043.073 - Maca Royal Gala Imp Eleg Cal 120-135 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.074;043.074 - Maca Royal Gala Imp Eleg Cal 135-138 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.075;043.075 - Maca Royal Gala Imp Eleg Cal 150 Cx 18 Kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.076;043.076 - Maca Royal Gala Imp Eleg Cal 165-175 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.077;043.077 - Maca Royal Gala Imp Eleg Cal 65-70 135 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.080;043.080 - Maca Turma Da Monica Cx 18kg;18,00;Maca Monica;Maca Gala;Maca
043.080;043.080 - Maça Turma Da Monica Cx 18kg;18,00;Maca Monica;Maca Gala;Maca
043.082;043.082 - Maca Red Imp Cal 150-198 Cx 19kg;19,00;Maca Red Imp;Maca Red;Maca
043.083;043.083 - Maca Granny Smith Imp Qualita Cx 10 Und C/500gr;5,00;Maca Granny Imp;Maca Granny;Maca
043.084;043.084 - Maca Mista Imp Qualita Caixa 10 Unidades Com 500 Gramas;5,00;Maca Mista;Maca Red;Maca
043.085;043.085 - Maca Red Imp Qualita Caixa 10 Unidades Com 500 Gramas;5,00;Maca Red Imp;Maca Red;Maca
043.088;043.088 - Maca Nacional Granel Cal 250 Cx 18kg;18,00;Outras Macas;Maca Gala;Maca
043.089;043.089 - Maca Nacional Fuji Granel Cal 250 Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.090;043.090 - Maca Disney 1kg X 10 Und Cx 10kg;10,00;Maca Pacote;Maca Fuji;Maca
043.091;043.091 - Maca Royal Gala Imp Com Cal 165-175 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.092;043.092 - Maca Royal Gala Imp Com Cal 88-113 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.093;043.093 - Maca Nac Gala Cat I Cal 110 Cx 18 Kg;18,00;Maca Gala;Maca Gala;Maca
043.095;043.095 - Maca Red Imp. R. Gourmet Bdj 570g;0,57;Maca Red Imp;Maca Red;Maca
043.096;043.096 - Maca Imp. Mista R. Gourmet Bdj 600g;0,60;Maca Mista;Maca Red;Maca
043.097;043.097 - Maca Red Imp Com Cal 125 Cx 18kg;18,00;Maca Red Imp;Maca Red;Maca
043.098;043.098 - Maca Nac Fuji Cat Ii 180;0,18;Maca Fuji;Maca Gala;Maca
043.099;043.099 - Maca Nac Fuji Cat I 198;0,20;Maca Fuji;Maca Gala;Maca
043.102;043.102 - Maca Nac Gala - Cat Ii ./. Cal 180/ Cx 18 Kg;18,00;Maca Gala;Maca Gala;Maca
043.102;043.102 - Maca Nac Gala Cat Ii Cal 180 Cx 18 Kg;18,00;Maca Gala;Maca Gala;Maca
043.103;043.103 - Maca Royal Gala Imp Eleg Cal 150 / 163-175 Cx 20kg;20,00;Maca Gala Imp;Maca Gala;Maca
043.104;043.104 - Maca Royal Gala Imp Eleg Cal 120 Cx 19kg;19,00;Maca Gala Imp;Maca Gala;Maca
043.105;043.105 - Maca Royal Gala Imp Eleg Cal 135 / 150 Cx 20kg;20,00;Maca Gala Imp;Maca Gala;Maca
043.106;043.106 - Maca Royal Gala Imp Com Cal 120 Cx 19 Kg;19,00;Maca Gala Imp;Maca Gala;Maca
043.106;043.106 - Maca Royal Gala Imp Com Cal 120 Cx 19kg;19,00;Maca Gala Imp;Maca Gala;Maca
043.107;043.107 - Maca Royal Gala Imp Eleg Cal 88-113 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.108;043.108 - Maca Royal Gala Imp Com Cal 120 Cx 18kg;18,00;Maca Gala Imp;Maca Gala;Maca
043.111;043.111 - Maca Gala Pick & Nick Imp Pct 1 Kg Cx Plast 18 Und;18,00;Maca Gala Imp Pick & Nicky;Maca Gala;Maca
043.111;043.111 - Maca Gala Pick & Nick Imp Pct 1kg Cx Plast 18 Und;18,00;Maca Gala Imp Pick & Nicky;Maca Gala;Maca
043.111;043.111 - Maca Pick & Nick Imp Pct 1 Kg Cx Plast 18 Und;18,00;Maca Gala Imp Pick & Nicky;Maca Gala;Maca
043.112;043.112 - Maca Gold Rose Imp Cx 17 Kg;17,00;Maca Gold Rose;Maca Gala;Maca
043.113;043.113 - Maca Royal Gala Imp Com Cal 135 Cx Plast 18 Kg;18,00;Maca Gala Imp;Maca Gala;Maca
043.113;043.113 - Maca Royal Gala Imp Com Cal 135 Cx Plast 18kg;18,00;Maca Gala Imp;Maca Gala;Maca
043.114;043.114 - Maca Sacolinha Nectar Schio Cx 24und / 850g;20,40;Maca Pacote;Maca Gala;Maca
043.115;043.115 - Maca Pick & Nicky Nac Pct 850g Cx 24 Und;20,40;Maca Gala Pick & Nicky;Maca Gala;Maca
043.116;043.116 - Maca Gold Rose Imp Cx 3,7 Kg;3,70;Maca Gold Rose;Maca Gala;Maca
043.117;043.117 - Maca Seninha Cx 18 Und X 1 Kg;1,00;Maca Pacote;Maca Gala;Maca
043.118;043.118 - Maca Nac Fuji Cat Iii 110 Cal Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.119;043.119 - Maca Nac Fuji Cat Iii 100 Cal Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.120;043.120 - Maca Nac Fuji Cat Iii 180 Cal Cx 18kg;18,00;Maca Fuji;Maca Fuji;Maca
043.121;043.121 - Granel;1,00;Maca Gala Imp;Maca Gala;Maca
043.121;043.121 - Maca Royal Gala Imp Eleg Cal 88-113 Cx 19kg;19,00;Maca Gala Imp;Maca Gala;Maca
043.122;043.122 - Maca Nac Gala Cat Ii Cal 110 Cx 18kg;18,00;Maca Gala;Maca Gala;Maca
043.123;043.123 - Maca Pink Lady Imp Eleg Cal 70-120 Cx 17,5 Kg;17,50;Maca Pink Lady;Maca Pink Lady;Maca
043.124;043.124 - Maca Granny Smith Imp Com Cal 125 Cx 19kg;19,00;Maca Granny Imp;Maca Granny;Maca
043.125;043.125 - Maca Granny Smith Imp Com Cal 150-163 Cx 20kg;20,00;Maca Granny Imp;Maca Granny;Maca
043.127;043.127 - Maca Cripps Pink Imp Eleg Cal 60 Cx 16 Kg;16,00;Maca Gala Pink;Maca Pink Lady;Maca
043.128;043.128 - Maca Pink Lady Imp Eleg Cal 80 Cx 6,5 Kg;6,50;Maca Pink Lady;Maca Pink Lady;Maca
043.129;043.129 - Maca Cripps Pink Imp Eleg Cal 70 Cx 17,5;17,50;Maca Gala Pink;Maca Pink Lady;Maca
043.129;043.129 - Maca Cripps Pink Imp Eleg Cal 70 Cx 17,5 Kg;17,50;Maca Gala Pink;Maca Pink Lady;Maca
043.130;043.130 - Maca Gala Pick & Nick Imp Pct 850gr Cx 22 Und;18,70;Maca Gala Imp Pick & Nicky;Maca Gala Imp;Maca
043.130;043.130 - Maca Pick & Nick Imp Pct 850gr Cx 22 Und;18,70;Maca Gala Imp Pick & Nicky;Maca Gala Imp;Maca
043.131;043.131 - Maca Red Imp Eleg Cal 72-80 Cx 18kg;18,00;Maca Red Imp;Maca Red;Maca
043.132;043.132 - Maca Granny Smith Imp Eleg Cal 80-113 Cx 17kg;17,00;Maca Granny Imp;Maca Granny;Maca
043.133;043.133 - Maca Royal Gala Imp Eleg Cal 125 Cx 19kg;19,00;Maca Gala Imp;Maca Gala;Maca
043.134;043.134 - Maca Royal Gala Imp Com Cal 125 Cx 20kg;20,00;Maca Gala Imp;Maca Gala;Maca
043.135;043.135 - Maca Royal Gala Imp Com Cal 88-113 Cx 19kg;19,00;Maca Gala Imp;Maca Gala;Maca
043.136;043.136 - Maca Royal Gala Imp Com Cal 125 Cx 19kg;19,00;Maca Gala Imp;Maca Gala;Maca
043.137;043.137 - Maca Gala Pick & Nick Imp Pct 850gr Cx 14 Und;11,90;Maca Gala Imp;Maca Gala Imp;Maca
043.137;043.137 - Maca Pick & Nick Imp Pct 850gr Cx 14 Und;11,90;Maca Gala Imp;Maca Gala Imp;Maca
043.138;043.138 - Maca Royal Gala Imp Eleg Cal 198 Cx 20kg;20,00;Maca Gala Imp;Maca Gala;Maca
043.139;043.139 - Maca Royal Gala Imp Com Cal 88-113 Cx 20kg;20,00;Maca Gala Imp;Maca Gala Imp;Maca
043.140;043.140 - Maca Royal Gala Imp Com Cal 150 / 163-175 Cx 20kg;20,00;Maca Gala Imp;Maca Gala Imp;Maca
043.141;043.141 - Maca Fuji Imp Eleg Cal 80-113 Cx 18kg;18,00;Maca Fuji Imp;Maca Fuji Imp;Maca
043.142;043.142 - Maca Gold Rose Imp Cx 18 Kg;18,00;Maca Gala Imp;Maca Gala;Maca
043.143;043.143 - Maca Royal Gala Imp Eleg Cal 135-138 Cx 19kg;19,00;Maca Gala Imp;Maca Gala Imp;Maca
043.144;043.144 - Maca Pink Lady Imp Pct 1kg Cx 12 Und;12,00;Maca Pink Lady;Maca Pink Lady;Maca
043.145;043.145 - Maca Gala Pink Imp Eleg Cal 150-163 Cx 19,5 Kg;19,50;Maca Gala Pink;Maca Pink Lady;Maca
043.146;043.146 - Maca Pink Lady Imp Eleg Cal 150-165 Cx 17,5 Kg;17,50;Maca Pink Lady;Maca Pink Lady;Maca
043.148;043.148 - Maca Royal Gala Imp Com Cal 125 Cx 18kg;18,00;Maca Gala Imp;Maca Gala Imp;Maca
043.150;043.150 - Maca Red Imp Eleg Cal 150-175 Cx 20kg;20,00;Maca Red Imp;Maca Red;Maca
043.151;043.151 - Maca Granny Smith Imp Eleg Cal 135 Cx 18kg;18,00;Maca Granny Imp;Maca Granny;Maca
